date,symbol,mean_change_pct,max_high_price,min_low_price,median_volume
2020-01-01,AIA,,8.9400,4.1700,571341
2020-01-02,AIA,2.1251,8.9400,4.1700,571341
2020-01-05,AIA,1.1561,8.9400,4.1700,571341
2020-01-06,AIA,0.8000,8.9400,4.1700,571341
2020-01-07,AIA,0.9070,8.9400,4.1700,571341
2020-01-08,AIA,-2.3596,8.9400,4.1700,571341
2020-01-09,AIA,-1.7261,8.9400,4.1700,571341
2020-01-12,AIA,0.1171,8.9400,4.1700,571341
2020-01-13,AIA,1.4035,8.9400,4.1700,571341
2020-01-14,AIA,0.6920,8.9400,4.1700,571341
2020-01-15,AIA,-0.1145,8.9400,4.1700,571341
2020-01-16,AIA,0.6881,8.9400,4.1700,571341
2020-01-19,AIA,-0.3417,8.9400,4.1700,571341
2020-01-20,AIA,-1.3714,8.9400,4.1700,571341
2020-01-21,AIA,0.1159,8.9400,4.1700,571341
2020-01-22,AIA,-0.6944,8.9400,4.1700,571341
2020-01-23,AIA,0.3497,8.9400,4.1700,571341
2020-01-27,AIA,-3.7166,8.9400,4.1700,571341
2020-01-28,AIA,0.8444,8.9400,4.1700,571341
2020-01-29,AIA,-1.4354,8.9400,4.1700,571341
2020-01-30,AIA,1.2136,8.9400,4.1700,571341
2020-02-02,AIA,-2.9976,8.9400,4.1700,571341
2020-02-03,AIA,-1.3597,8.9400,4.1700,571341
2020-02-04,AIA,2.5063,8.9400,4.1700,571341
2020-02-05,AIA,0.2445,8.9400,4.1700,571341
2020-02-06,AIA,2.1951,8.9400,4.1700,571341
2020-02-09,AIA,-1.5513,8.9400,4.1700,571341
2020-02-10,AIA,-0.3636,8.9400,4.1700,571341
2020-02-11,AIA,0.0000,8.9400,4.1700,571341
2020-02-12,AIA,-0.4866,8.9400,4.1700,571341
2020-02-13,AIA,-0.7335,8.9400,4.1700,571341
2020-02-16,AIA,-0.9852,8.9400,4.1700,571341
2020-02-17,AIA,0.2488,8.9400,4.1700,571341
2020-02-18,AIA,-0.7444,8.9400,4.1700,571341
2020-02-19,AIA,2.2500,8.9400,4.1700,571341
2020-02-20,AIA,0.6112,8.9400,4.1700,571341
2020-02-23,AIA,-3.6452,8.9400,4.1700,571341
2020-02-24,AIA,0.2522,8.9400,4.1700,571341
2020-02-25,AIA,-1.8868,8.9400,4.1700,571341
2020-02-26,AIA,-0.8974,8.9400,4.1700,571341
2020-02-27,AIA,-1.2937,8.9400,4.1700,571341
2020-03-01,AIA,-4.5872,8.9400,4.1700,571341
2020-03-02,AIA,2.7473,8.9400,4.1700,571341
2020-03-03,AIA,-2.0053,8.9400,4.1700,571341
2020-03-04,AIA,2.5921,8.9400,4.1700,571341
2020-03-05,AIA,0.9309,8.9400,4.1700,571341
2020-03-08,AIA,-2.8986,8.9400,4.1700,571341
2020-03-09,AIA,0.9498,8.9400,4.1700,571341
2020-03-10,AIA,-1.6129,8.9400,4.1700,571341
2020-03-11,AIA,-7.1038,8.9400,4.1700,571341
2020-03-12,AIA,-1.6176,8.9400,4.1700,571341
2020-03-15,AIA,-23.7668,8.9400,4.1700,571341
2020-03-16,AIA,-0.9804,8.9400,4.1700,571341
2020-03-17,AIA,-0.9901,8.9400,4.1700,571341
2020-03-18,AIA,-10.2000,8.9400,4.1700,571341
2020-03-19,AIA,10.2450,8.9400,4.1700,571341
2020-03-22,AIA,-9.0909,8.9400,4.1700,571341
2020-03-23,AIA,7.1111,8.9400,4.1700,571341
2020-03-24,AIA,14.9378,8.9400,4.1700,571341
2020-03-25,AIA,5.4152,8.9400,4.1700,571341
2020-03-26,AIA,-6.8493,8.9400,4.1700,571341
2020-03-29,AIA,-5.3309,8.9400,4.1700,571341
2020-03-30,AIA,-3.8835,8.9400,4.1700,571341
2020-03-31,AIA,4.2424,8.9400,4.1700,571341
2020-04-01,AIA,-2.9070,8.9400,4.1700,571341
2020-04-02,AIA,-2.7944,8.9400,4.1700,571341
2020-04-06,AIA,0.0000,8.9400,4.1700,571341
2020-04-07,AIA,9.2402,8.9400,4.1700,571341
2020-04-08,AIA,0.0000,8.9400,4.1700,571341
2020-04-09,AIA,4.6992,8.9400,4.1700,571341
2020-04-14,AIA,0.7181,8.9400,4.1700,571341
2020-04-15,AIA,0.8913,8.9400,4.1700,571341
2020-04-16,AIA,-0.7067,8.9400,4.1700,571341
2020-04-17,AIA,4.9822,8.9400,4.1700,571341
2020-04-20,AIA,-4.0678,8.9400,4.1700,571341
2020-04-21,AIA,-1.4134,8.9400,4.1700,571341
2020-04-22,AIA,-2.1505,8.9400,4.1700,571341
2020-04-23,AIA,-1.4652,8.9400,4.1700,571341
2020-04-24,AIA,0.3717,8.9400,4.1700,571341
2020-04-27,AIA,3.8889,8.9400,4.1700,571341
2020-04-28,AIA,2.1390,8.9400,4.1700,571341
2020-04-29,AIA,-2.2688,8.9400,4.1700,571341
2020-04-30,AIA,2.5000,8.9400,4.1700,571341
2020-05-01,AIA,-2.7875,8.9400,4.1700,571341
2020-05-04,AIA,-0.5376,8.9400,4.1700,571341
2020-05-05,AIA,0.7207,8.9400,4.1700,571341
2020-05-06,AIA,-1.7889,8.9400,4.1700,571341
2020-05-07,AIA,-1.8215,8.9400,4.1700,571341
2020-05-08,AIA,-0.7421,8.9400,4.1700,571341
2020-05-11,AIA,5.2336,8.9400,4.1700,571341
2020-05-12,AIA,-3.1972,8.9400,4.1700,571341
2020-05-13,AIA,-0.5505,8.9400,4.1700,571341
2020-05-14,AIA,-2.2140,8.9400,4.1700,571341
2020-05-15,AIA,0.3774,8.9400,4.1700,571341
2020-05-18,AIA,-2.6316,8.9400,4.1700,571341
2020-05-19,AIA,3.0888,8.9400,4.1700,571341
2020-05-20,AIA,1.6854,8.9400,4.1700,571341
2020-05-21,AIA,-2.3941,8.9400,4.1700,571341
2020-05-22,AIA,2.2642,8.9400,4.1700,571341
2020-05-25,AIA,4.2435,8.9400,4.1700,571341
2020-05-26,AIA,5.8407,8.9400,4.1700,571341
2020-05-27,AIA,2.3411,8.9400,4.1700,571341
2020-05-28,AIA,-1.6340,8.9400,4.1700,571341
2020-05-29,AIA,0.3322,8.9400,4.1700,571341
2020-06-01,AIA,-0.3311,8.9400,4.1700,571341
